Date,Adj Close,Volume,HL_PCT,PCT_change,label,Forecast
2020-03-13,25.3700008392334,5504662.0,15.58927785918655,-1.7428305999594007,,
2020-03-16,18.229999542236328,8202053.0,39.440486640712216,-20.18389045338612,,
2020-03-17,16.09000015258789,5450726.0,22.311995764714027,-15.31578867059005,,
2020-03-18,12.899999618530273,14794497.0,45.8914748167134,-14.00000254313151,,
2020-03-19,12.149999618530273,8224031.0,29.012343450235235,-8.577880711775437,,
2020-03-20,13.609999656677246,6210521.0,24.099932177708,-0.36603361122537514,,
2020-03-21,,,,,,33.95399641298289
2020-03-22,,,,,,34.159590691384544
2020-03-23,,,,,,30.797101033793542
2020-03-24,,,,,,32.545850272911984
2020-03-25,,,,,,29.622912717196968
2020-03-26,,,,,,30.668365926213465
2020-03-27,,,,,,25.241083920144938
2020-03-28,,,,,,23.944461416587707
2020-03-29,,,,,,23.923800985668727
2020-03-30,,,,,,13.867597798270108
2020-03-31,,,,,,13.479318383230664
2020-04-01,,,,,,7.548726967938471
2020-04-02,,,,,,9.323341506560714
2020-04-03,,,,,,12.036165723639277
